시군명,사업장명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,소재지면적정보,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값,축산업무구분명,축산고유번호,권리주체일련번호
가평군,가평축산농협 동물병원,2011-04-18,,4,말소,,582-4111,0,,경기도 가평군 가평읍 가화로 55-12,경기도 가평군 가평읍 대곡리 166-1번지,12420,37.82492982,127.5150104,,245272.3992,480386.6023,동물병원,,
가평군,가평동물병원,1999-01-19,,4,말소,,,0,,경기도 가평군 가평읍 굴다리길 15-1,경기도 가평군 가평읍 대곡리 236-7번지,12420,37.82626394,127.5136358,,245147.2886,480533.9005,동물병원,,
가평군,경기동물병원,1990-03-03,,4,말소,,,0,,경기도 가평군 청평면 청평중앙로 8,경기도 가평군 청평면 청평리 438-23번지,12453,37.73585002,127.4159359,,204580.9228,488837.1106,동물병원,,
가평군,가평축산농협 동물병원,2011-04-18,,4,말소,,582-4111,0,,경기도 가평군 가평읍 가화로 55-12,경기도 가평군 가평읍 대곡리 166-1번지,12420,37.82492982,127.5150104,,245252.4166,480343.9257,동물병원,,
가평군,청평동물병원,2012-03-29,,0,정상,,585-7573,59.82,12452,경기도 가평군 청평면 청평중앙로 55-1,경기도 가평군 청평면 청평리 465-25 ,12452,37.73843997,127.4204502,,236987.669,470746.3531,동물병원,0,0
가평군,설악동물병원,2013-12-11,,0,정상,,584-3063,66.12,12465,"경기도 가평군 설악면 신천중앙로 120, 1층",경기도 가평군 설악면 신천리 435-3 설악동물병원 ,12465,37.67824826,127.4906214,,243211.0248,464093.1691,동물병원,0,0
가평군,가평축산농협 동물병원,2011-04-21,,1,정상,,031-582-4111,24,,경기도 가평군 가평읍 가화로 55-17,경기도 가평군 가평읍 대곡리 166-2 가평축산농협,12420,37.82454229,127.5147036,,245272.3992,480386.6023,동물병원,,
가평군,현리동물병원,2002-08-29,,1,정상,,,0,,경기도 가평군 조종면 현창로 70,경기도 가평군 조종면 현리 303-6번지,12437,37.82052253,127.3465531,,230438.34,479828.0629,동물병원,,
가평군,경기동물병원,1990-03-03,,1,정상,,,0,,경기도 가평군 청평면 청평중앙로 8,경기도 가평군 청평면 청평리 438-23번지 경기동물병원,12453,37.73585002,127.4159359,,236594.5239,470455.6771,동물병원,,
가평군,가평축산농협 동물병원,2011-04-21,,0,정상,,031-582-4111,24,12420,"경기도 가평군 가평읍 가화로 55-17, 가평축산농협",경기도 가평군 가평읍 대곡리 166-2 가평축산농협 ,12420,37.82454229,127.5147036,,245252.4166,480343.9257,동물병원,0,L00
가평군,가평동물병원,2023-11-22,,0,정상,,,48.72,12413,"경기도 가평군 가평읍 보납로 11, 센트럴더스카이 근린생활시동 105호",경기도 가평군 가평읍 읍내리 457-5 ,12413,37.83125739,127.5122048,,245013.1152,481096.7921,동물병원,0,0
가평군,청평동물병원,2012-03-29,,1,정상,,585-7573,59.82,,경기도 가평군 청평면 청평중앙로 55-1,경기도 가평군 청평면 청평리 465-25,12452,37.73843997,127.4204502,,236987.669,470746.3531,동물병원,,
가평군,사랑나무동물병원,2025-01-21,,0,정상,,,73.2,12413,경기도 가평군 가평읍 가화로 155,경기도 가평군 가평읍 읍내리 624-3 ,12413,37.83312318,127.5114778,,244957.0884,481295.9086,동물병원,0,0
가평군,경기동물병원,1990-03-03,,0,정상,,,0,12453,"경기도 가평군 청평면 청평중앙로 8, 경기동물병원",경기도 가평군 청평면 청평리 438-23 경기동물병원 ,12453,37.73585002,127.4159359,,236594.5239,470455.6771,동물병원,0,0
가평군,설악동물병원,2013-12-11,,1,정상,,584-3063,34.02,,경기도 가평군 설악면 신천중앙로 117,경기도 가평군 설악면 신천리 454-3번지,12467,37.67795984,127.4906328,,243195.7912,464052.735,동물병원,,
가평군,우랑동물병원(산업동물출장진료전문병원),2017-12-28,,1,정상,,,18,,경기도 가평군 가평읍 중촌로 11,경기도 가평군 가평읍 읍내리 602,12414,37.8331234,127.5089209,,244728.6756,481292.9715,동물병원,,
가평군,현대가축병원,1979-08-10,,1,정상,,,0,,경기도 가평군 가평읍 연인2길 19,경기도 가평군 가평읍 읍내리 489-14번지 현대동물병원,12418,37.82966215,127.5112728,,199432.2233,485476.8324,동물병원,,
가평군,가평가축병원,1975-04-16,,1,정상,,582-2412,0,,,경기도 가평군 가평읍 대곡리 230-3번지,12420,37.82503809,127.5141241,,245202.8971,480399.4387,동물병원,,
가평군,가평가축병원,1975-04-16,,2,폐업,2024-04-29,582-2412,0,12420,경기도 가평군 가평읍 오리나무길 27 (조은장여관),경기도 가평군 가평읍 대곡리 230-3 ,12420,37.82503809,127.5141241,,245202.8971,480399.4387,동물병원,0,0
가평군,가평유기동물병원,2005-07-26,,3,폐업,2014-02-04,585-0341,91.02,,경기도 가평군 조종면 대보간선로335번길 81,경기도 가평군 조종면 대보리 223번지,12439,37.8028678,127.3708422,,,,동물병원,,
가평군,푸른가축병원(산업동물출장진료전문병원),2009-02-23,,3,폐업,2017-12-26,031-582-8012,47.25,,,경기도 가평군 가평읍 읍내리 457번지,12413,,,,,,동물병원,,
가평군,청평애견동물병원,2004-09-20,,3,폐업,2005-08-02,,0,,경기도 가평군 청평면 청평중앙로 21,경기도 가평군 청평면 청평리 453-1번지,12452,37.73665319,127.417331,,210250.6814,467253.3095,동물병원,,
가평군,대한동물병원,1999-10-16,,3,폐업,2003-12-26,581-7582,0,,경기도 가평군 가평읍 가화로 48,경기도 가평군 가평읍 대곡리 189-1 번지,12419,37.82425373,127.5158171,,206054.5888,502434.7066,동물병원,,
가평군,선진가축병원(산업동물출장진료전문병원),2011-08-04,,3,폐업,2023-05-09,070-8739-6388,30,,경기도 가평군 가평읍 향교로 3,경기도 가평군 가평읍 읍내리 535-2,12417,37.8294369,127.5104318,,244864.1401,480885.6069,동물병원,,
고양시,스마트동물병원,2013-07-04,,1,정상,,031-913-8820,171.34,,경기도 고양시 일산동구 호수로 678,경기도 고양시 일산동구 장항동 750번지,10364,37.66184243,126.7648037,,179178.9797,462185.7801,동물병원,,
고양시,수 동물병원,2010-10-08,,1,정상,,031-900-8875,0,,,경기도 고양시 일산동구 장항동 751번지 삼성라끄빌,10401,37.66075854,126.7658801,,182325.2368,406130.4319,동물병원,,
고양시,행복한 동물병원,2023-04-21,,1,정상,,,49.73,,경기도 고양시 일산동구 중앙로1275번길 60-17,경기도 고양시 일산동구 장항동 756-5 트루엘 파크스테이,10401,37.65942932,126.7680927,,240314.9422,418943.8765,동물병원,,
고양시,제이엠 동물병원,2004-12-18,,1,정상,,031-924-1375,0,,경기도 고양시 일산동구 정발산로 43-20,경기도 고양시 일산동구 장항동 846 센트럴프라자 205호,10402,37.65838038,126.7733748,,179935.268,461800.1248,동물병원,,
고양시,진스 종합 동물병원,2010-01-29,,1,정상,,,0,,경기도 고양시 일산동구 노루목로 99,경기도 고양시 일산동구 장항동 883번지 호수마을5단지아파트 121호,10413,37.65007414,126.7754848,,180178.1236,460901.4214,동물병원,,
고양시,이창훈 동물병원,1993-04-21,,1,정상,,,0,,경기도 고양시 일산동구 무궁화로141번길 7-9,경기도 고양시 일산동구 정발산동 1180-3번지,10359,37.66946714,126.7763849,,180202.5605,463031.6088,동물병원,,
고양시,토베스트 동물병원,2006-08-25,,1,정상,,,0,,경기도 고양시 일산동구 일산로441번길 15-19,경기도 고양시 일산동구 정발산동 1203-7번지,10359,37.67244287,126.7780796,,194619.5957,429797.4445,동물병원,,
고양시,고양 우리아이 동물병원,2017-05-16,,1,정상,,031-965-0079,0,,경기도 고양시 덕양구 혜음로 54,경기도 고양시 덕양구 고양동 162,10274,37.70541518,126.9024807,,191332.679,467000.8355,동물병원,,
고양시,고양동물병원,2013-03-13,,1,정상,,031-964-7599,0,,경기도 고양시 덕양구 혜음로 8,경기도 고양시 덕양구 고양동 243,10275,37.70107649,126.9018236,,191272.2379,466525.0815,동물병원,,
고양시,대심동물병원,2019-06-24,,1,정상,,031-962-1588,0,,경기도 고양시 덕양구 통일로 753,경기도 고양시 덕양구 관산동 185 도광빌딩,10287,37.68710281,126.8666972,,188178.6433,464969.0961,동물병원,,
고양시,예 동물병원,2015-03-01,,1,정상,,,46.41,,경기도 고양시 덕양구 도래울로 52,경기도 고양시 덕양구 도내동 1020번지,10551,37.63037009,126.8694796,,188410.6047,458676.3217,동물병원,,
고양시,삼송동물병원,2015-01-02,,1,정상,,,,,경기도 고양시 덕양구 삼송로 154-1,경기도 고양시 덕양구 삼송동 135-51번지,10590,37.65258403,126.8910464,,190316.6522,461138.7866,동물병원,,
고양시,피그만클리닉,2006-10-10,,1,정상,,,0,,경기도 고양시 덕양구 삼송로 222,경기도 고양시 덕양구 삼송동 293 310호,10592,37.65289638,126.8992288,,191025.0106,461186.0016,동물병원,,
고양시,삼송사랑 동물의료센터,2015-05-01,,1,정상,,02-388-8275,157,,경기도 고양시 덕양구 삼송로 92,경기도 고양시 덕양구 삼송동 326-2번지 우영프라자 2층,10589,37.6508368,126.884361,,189725.5961,460945.5137,동물병원,,
고양시,포근한동물병원,2015-07-08,,1,정상,,02-381-7963,0,,경기도 고양시 덕양구 동세로 63,경기도 고양시 덕양구 삼송동 337-3번지,10588,37.64813257,126.8843153,,178712.7716,444527.5746,동물병원,,
고양시,민동물병원,1992-01-28,,1,정상,,,0,,경기도 고양시 덕양구 호국로 778-6,경기도 고양시 덕양구 성사동 699-1번지,10464,37.65560195,126.8356524,,185427.6873,461481.8022,동물병원,,
고양시,365 신원당 동물병원,2013-10-04,,1,정상,,,0,,경기도 고양시 덕양구 호국로790번길 88,경기도 고양시 덕양구 성사동 706-4번지 1층 365 신원당동물병원,10464,37.65445688,126.8404014,,185847.302,461353.3724,동물병원,,
고양시,앞선동물병원,2014-12-12,,1,정상,,,0,,경기도 고양시 덕양구 신원로1길 48,경기도 고양시 덕양구 신원동 638-2번지,10570,37.66181496,126.8878191,,190033.2601,462163.3133,동물병원,,
고양시,더힐링동물병원,2021-07-07,,1,정상,,27127582,,,경기도 고양시 덕양구 오금1로 143,경기도 고양시 덕양구 오금동 663-1,10576,37.66010672,126.908082,,191818.934,461971.4037,동물병원,,
고양시,하이반려동물행동클리닉,2021-09-06,,1,정상,,319661210,,,경기도 고양시 덕양구 권율대로 690,경기도 고양시 덕양구 원흥동 635,10558,37.65073319,126.8749415,,188926.0455,460940.6776,동물병원,,
고양시,원당동물병원,2008-09-04,,1,정상,,962-6049,0,,경기도 고양시 덕양구 마상로126번길 97,경기도 고양시 덕양구 주교동 611-9번지,10461,37.65649965,126.8334111,,185231.5689,461582.4726,동물병원,,
고양시,해오름 동물병원,2009-05-04,,1,정상,,818-6543,0,,경기도 고양시 덕양구 호국로 821,경기도 고양시 덕양구 주교동 621-3번지 101호,10462,37.65895301,126.8385249,,185684.469,461852.5678,동물병원,,
고양시,작은 친구 동물병원,2002-02-06,,1,정상,,031-970-9204,22,,경기도 고양시 덕양구 토당로42번길 13-15,경기도 고양시 덕양구 토당동 855-1번지,10510,37.62033107,126.8210768,,184137.4911,457573.4025,동물병원,,
고양시,탑동물병원,2021-03-16,,1,정상,,,,,경기도 고양시 덕양구 토당로 4,경기도 고양시 덕양구 토당동 870-5,10510,37.6174107,126.8242081,,185013.7034,458778.5228,동물병원,,
고양시,헬릭스동물메디컬센터,2010-05-24,,1,정상,,031-978-7575,451.19,,경기도 고양시 덕양구 중앙로 439,"경기도 고양시 덕양구 행신동 1086 서정프라자 1층, 2층",10532,37.6175351,126.8462912,,186358.4458,457257.5321,동물병원,,
고양시,메리알동물병원,2021-07-02,,1,정상,,,,,경기도 고양시 덕양구 무원로6번길 20,경기도 고양시 덕양구 행신동 707-3 M-타워,10523,37.61342673,126.8337051,,185248.0884,456800.9311,동물병원,,
고양시,펫피아 동물병원,2006-10-19,,1,정상,,,0,,경기도 고양시 덕양구 충경로 45,경기도 고양시 덕양구 행신동 756-10번지,10525,37.61568577,126.834716,,209931.2902,388148.0217,동물병원,,
고양시,아마존,2001-04-06,,1,정상,,031-972-7582,0,,경기도 고양시 덕양구 중앙로558번길 21,경기도 고양시 덕양구 행신동 944번지,10495,37.6246698,126.8359165,,185447.4261,458048.9742,동물병원,,
고양시,디엔씨,1997-09-02,,1,정상,,9780075,0,,경기도 고양시 덕양구 중앙로 550,경기도 고양시 덕양구 행신동 950-1 106호,10495,37.62349979,126.8362215,,185472.5443,457917.4048,동물병원,,
고양시,서울하은동물병원,2021-03-04,,1,정상,,02-6951-0275,0,,경기도 고양시 덕양구 꽃내음1길 128,경기도 고양시 덕양구 향동동 489-11,10545,37.59989566,126.8900034,,190218.307,455291.087,동물병원,,
고양시,더바름동물병원,2020-04-07,,1,정상,,02-6953-7515,0,,경기도 고양시 덕양구 향기로 56,경기도 고양시 덕양구 향동동 563번지,10546,37.59498525,126.8921164,,190408.5962,454741.9862,동물병원,,
고양시,경서동물병원,2023-07-18,,1,정상,,231580733,100,,경기도 고양시 덕양구 중앙로 136,경기도 고양시 덕양구 화전동 219-14,10538,37.60079755,126.8729126,,188707.2078,455391.5237,동물병원,,
고양시,서울프라임 동물병원,2014-04-30,,1,정상,,031-970-0075,,,경기도 고양시 덕양구 중앙로 628,경기도 고양시 덕양구 화정동 1148-1번지,10503,37.62753245,126.8289102,,184828.9247,458367.0876,동물병원,,
고양시,센트럴동물병원,2019-12-03,,1,정상,,031-967-8275,,,경기도 고양시 덕양구 은빛로 45,경기도 고양시 덕양구 화정동 909-3번지 화정꽃무리조합프라자 202호,10477,37.63811034,126.83302,,185182.792,459542.2493,동물병원,,
고양시,쿨펫동물병원,2008-12-04,,1,정상,,971-7585,56.9,,경기도 고양시 덕양구 화중로 66,경기도 고양시 덕양구 화정동 982번지 롯데마트,10500,37.63295297,126.8311168,,196752.3327,432521.0429,동물병원,,
고양시,Dr. dog 동물영상의료센터,2003-06-13,,1,정상,,932-0075~6,104.8,,경기도 고양시 일산동구 일산로394번길 5-11,경기도 고양시 일산동구 정발산동 1294-4,10406,37.67070444,126.7812147,,180629.3582,463166.4891,동물병원,,
고양시,더독,2003-08-02,,1,정상,,031-977-0154,0,,경기도 고양시 일산동구 고봉로278번길 16,경기도 고양시 일산동구 중산동 1667-3번지,10338,37.68324318,126.7784853,,180390.9569,464559.9841,동물병원,,
고양시,위즈펫동물병원 풍산점,2017-07-13,,1,정상,,,0,,경기도 고양시 일산동구 무궁화로 237,경기도 고양시 일산동구 중산동 1809번지,10311,37.67389481,126.7871032,,181149.6822,463521.8019,동물병원,,
고양시,펫스티벌 동물병원,2017-09-26,,1,정상,,070-4337-5967,0,,경기도 고양시 일산동구 고양대로 885,경기도 고양시 일산동구 풍동 660-3,10319,37.67894484,126.7935302,,186831.9593,468074.8233,동물병원,,
고양시,벳케어 동물병원,2010-04-28,,1,정상,,921-0117,0,,경기도 고양시 일산서구 가좌3로 27,경기도 고양시 일산서구 가좌동 390-8번지,10209,37.68718324,126.7192552,,175167.3771,465009.5895,동물병원,,
고양시,자유로 동물병원,2007-12-13,,1,정상,,,0,,경기도 고양시 일산서구 대화로 120,경기도 고양시 일산서구 대화동 1450-1번지 자유로프라자,10222,37.6697045,126.7340429,,176474.1799,463060.185,동물병원,,
고양시,토론토 동물병원,2010-08-10,,1,정상,,923-7533,80,,경기도 고양시 일산서구 대산로212번길 8-12,경기도 고양시 일산서구 대화동 2119-4번지,10370,37.67822662,126.7558873,,244102.628,443704.25,동물병원,,
고양시,초원동물병원,2008-04-14,,1,정상,,,0,,경기도 고양시 일산서구 일산로 589,경기도 고양시 일산서구 일산동 1054-1번지 현대프라자,10371,37.6795412,126.7628486,,178994.545,464162.9633,동물병원,,
고양시,통일로 동물병원,2014-04-21,,1,정상,,070-7720-4934,0,,경기도 고양시 덕양구 통일로 730,경기도 고양시 덕양구 관산동 163-16번지,10285,37.68792819,126.8693442,,193537.2603,494837.9241,동물병원,,
고양시,원흥동물의료센터,2017-03-14,,1,정상,,031-966-3328,0,,경기도 고양시 덕양구 도래울로 40,경기도 고양시 덕양구 도내동 1087번지 201호,10551,37.62936596,126.8687967,,188350.1863,458565.2135,동물병원,,
고양시,웰니스동물병원 스타필드 고양,2020-12-23,,1,정상,,031-5173-1487,,,경기도 고양시 덕양구 고양대로 1955,경기도 고양시 덕양구 동산동 370번지 스타필드 고양 1층 1100호,10595,37.64709626,126.8948093,,190645.3143,460528.948,동물병원,,
고양시,24시 라인동물의료센터,2020-03-11,,1,정상,,02-381-2475,860.69,,경기도 고양시 덕양구 동송로 70,경기도 고양시 덕양구 삼송동 291번지 힐스테이트 삼송역 2층 227-231호,10591,37.65242521,126.8969766,,190815.458,461119.3423,동물병원,,
고양시,삼송동물의료센터,2015-04-23,,1,정상,,02-381-9658,25,,경기도 고양시 덕양구 삼송로205번길 15,경기도 고양시 덕양구 삼송동 61-9번지,10556,37.65445784,126.8961213,,190764.6238,461349.4422,동물병원,,
고양시,신원동물메디컬센터,2016-11-04,,1,정상,,02-381-0507,,,경기도 고양시 덕양구 신원로1길 42,경기도 고양시 덕양구 신원동 638-4번지,10570,37.66196064,126.8881013,,190057.405,462180.26,동물병원,,
고양시,고양시 동물보호센터,2014-05-12,,1,정상,,031-962-3232,352.54,,경기도 고양시 덕양구 고양대로 1695,경기도 고양시 덕양구 원흥동 471-10 고양시 농업기술센터,10563,37.64977899,126.8700864,,188445.243,460802.6267,동물병원,,
고양시,지축오투동물의료센터,2022-09-16,,1,정상,,23810275,70.28,,경기도 고양시 덕양구 지축로 86,경기도 고양시 덕양구 지축동 1057-2번지 207~208호,10585,37.64878743,126.9174219,,,,동물병원,,
고양시,해랑동물병원,2022-08-29,,1,정상,,318118991,275.01,,경기도 고양시 덕양구 토당로 115,경기도 고양시 덕양구 토당동 282-23 금호프라자,10506,37.62549898,126.8169616,,183778.6343,458154.13,동물병원,,
고양시,탑동물병원,2023-02-08,,1,정상,,031-970-7765,0,,경기도 고양시 덕양구 토당로 4,경기도 고양시 덕양구 토당동 870-5,10510,37.6174107,126.8242081,,184411.9135,457246.3362,동물병원,,
