시군명,사업장명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,소재지면적정보,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값,축산업무구분명,축산고유번호,권리주체일련번호
가평군,이화온누리약국,20120229,,0004,말소,,582-6904,0,12420,경기도 가평군 가평읍 가화로 55-12,경기도 가평군 가평읍 대곡리 166-1번지,12420,37.8248498,127.5149412,,245272.399227679,480386.602337806,동물약국,,000
가평군,우림약국,20180419,,0004,말소,,0315825661,51.1,12413,"경기도 가평군 가평읍 가화로 155-19, 우림약국",경기도 가평군 가평읍 읍내리 624-13 우림약국 ,12413,37.8329520150,127.5106027728,,244879.168854859    ,481274.867897815    ,동물약국,0,000
가평군,연인산약국,20070628,,0004,말소,,581-8362,49.5,,경기도 가평군 가평읍 가화로 47 (대곡리),경기도 가평군 가평읍 대곡리 189-3번지,12420,37.8240099,127.5154125,,245315.499531694,480294.928191804,동물약국,,000
가평군,행복한온누리약국,20220502,,0000,정상,,,,12452,경기도 가평군 청평면 청평중앙로 52,경기도 가평군 청평면 청평리 432-10 ,12452,37.7379171062,127.4203145256,,236973.844222934    ,470681.78812466     ,동물약국,0,000
가평군,메디칼약국,20220420,,0000,정상,,,,12419,경기도 가평군 가평읍 장터3길 10,경기도 가평군 가평읍 읍내리 407-4 ,12419,37.8303918387,127.5146933550,,245244.816195541    ,480997.630244839    ,동물약국,0,000
가평군,효정약국,2020-08-11,,0000,정상,,031-585-7639,37.8,12461,"경기도 가평군 설악면 미사리로 267-181, 의료시설 1동 1층",경기도 가평군 설악면 송산리 426-26 ,12461,37.6904507286,127.5218794393,,245952.466951651    ,465457.65542866     ,동물약국,0,000
가평군,서울프라자약국,20220822,,0000,정상,,031-585-1007,,12437,경기도 가평군 조종면 현창로38번길 5-1,경기도 가평군 조종면 현리 265-10 ,12437,37.8187766293,127.3486018908,,230623.296776322    ,479636.268232485    ,동물약국,0,000
가평군,감초온누리약국,20180406,,0000,정상,,5851008,339.51,12465,"경기도 가평군 설악면 신천중앙로88번길 1, 온누리감초약국",경기도 가평군 설악면 신천리 120-3번지 온누리감초약국,12465,37.6768064,127.4937563,,243492.440674527,463945.365480385,동물약국,,000
가평군,설악약국,2024-09-23,,0000,정상,,,,12462,"경기도 가평군 설악면 미사리로540번길 51, 설악휴게소",경기도 가평군 설악면 미사리 149-4 설악휴게소 ,12462,37.7019355153,127.5467944736,,248130.438974745    ,466721.141902197    ,동물약국,0,000
가평군,보명약국,2023-12-12,,0000,정상,,031-582-7639,,12418,"경기도 가평군 가평읍 가화로 123, 보명약국 1층",경기도 가평군 가평읍 읍내리 470-3 보명약국 ,12418,37.8306083308,127.5132047429,,245099.657913547    ,481009.247467016    ,동물약국,0,000
가평군,대성약국,20180626,,0000,정상,,584-1050,246.69,12465,"경기도 가평군 설악면 신천중앙로 118, 삼성의원",경기도 가평군 설악면 신천리 435-14번지 삼성의원,12465,37.6779716,127.4908847,,243240.309092885,464072.327501484,동물약국,,000
가평군,가평온누리약국,20160428,,0000,정상,,031-581-8777,,12418,경기도 가평군 가평읍 가화로 113 (새희망의원),경기도 가평군 가평읍 읍내리 468-22번지 새희망의원,12418,37.8296499,127.5133047,,245124.963914277,480919.843251865,동물약국,,000
가평군,가평중앙약국,20180905,,0000,정상,,031-581-7522,183.6,12418,"경기도 가평군 가평읍 연인1길 1, 임내과의원",경기도 가평군 가평읍 읍내리 476-7 임내과의원 ,12418,37.8293554470,127.5136817902,,245099.657913547    ,481009.247467016    ,동물약국,,000
가평군,자라섬 약국,2024-01-11,,0002,폐업,2024-04-22,,,12413,"경기도 가평군 가평읍 보납로 3, 1층",경기도 가평군 가평읍 읍내리 505-2 ,12413,37.8314377807,127.5108639260,,244902.152319959    ,481107.951663689    ,동물약국,0,000
가평군,란약국,20131209,,0002,폐업,20160907,581-0625,103.7,12449,경기도 가평군 청평면 경춘로 1401,경기도 가평군 청평면 상천리 295번지,12449,37.7762660,127.4615303,,240595.987244443,474969.509275455,동물약국,,000
가평군,소리약국,20170927,,0002,폐업,20180123,581-7761,49.5,12413,경기도 가평군 가평읍 석봉로 198,경기도 가평군 가평읍 읍내리 615-5번지,12413,37.8325651,127.5100192,,244835.245032574,481241.386171086,동물약국,,000
가평군,보명약국,2020-12-08,,0002,폐업,2023-10-04,031-582-7639,0,12418,"경기도 가평군 가평읍 가화로 123, 보명약국",경기도 가평군 가평읍 읍내리 470-3 보령약국 ,12418,37.8306083308,127.5132047429,,245099.657913547    ,481009.247467016    ,동물약국,0,000
가평군,소명약국,2022-05-12,,0002,폐업,2023-08-31,031-581-0388,,12413,경기도 가평군 가평읍 석봉로 198,경기도 가평군 가평읍 읍내리 615-5 ,12413,37.8326546257,127.5100913461,,244835.245032574    ,481241.386171086    ,동물약국,0,000
고양시,일산나을약국,20130716,,0004,말소,,031-907-1804,0,410811,경기도 고양시 일산동구 중앙로 1172 (마두동),경기도 고양시 일산동구 마두동 802-1번지 일산그랜드플라자 510호,10414,37.6516574,126.7783773,,180377.376839201,461063.025805119,동물약국,,000
고양시,도토리약국,2024-10-08,,0000,정상,,,,10557,"경기도 고양시 덕양구 세솔로 96, 1층 (삼송동)",경기도 고양시 덕양구 삼송동 304-1 1층 ,10557,37.6525146406,126.8880881441,,190054.76932188     ,461130.566584277    ,동물약국,0,000
고양시,백세약국,2025-03-13,,0000,정상,,,,10341,경기도 고양시 일산서구 일중로 45 (일산동),경기도 고양시 일산서구 일산동 552-32 ,10341,37.6836990843,126.7749310803,,180068.878996213    ,464613.343010745    ,동물약국,0,000
