시군명,사업장명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,소재지면적정보,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값,축산업무구분명,축산고유번호,권리주체일련번호
가평군,가평축산농협 동물병원,2011-04-18,,4,말소,,582-4111,0,,경기도 가평군 가평읍 가화로 55-12,경기도 가평군 가평읍 대곡리 166-1번지,12420,37.8249298209,127.5150104334,,245272.3992,480386.6023,동물병원,,
가평군,가평동물병원,1999-01-19,,4,말소,,,0,,경기도 가평군 가평읍 굴다리길 15-1,경기도 가평군 가평읍 대곡리 236-7번지,12420,37.8262639369,127.5136357670,,245147.2886,480533.9005,동물병원,,
가평군,경기동물병원,1990-03-03,,4,말소,,,0,,경기도 가평군 청평면 청평중앙로 8,경기도 가평군 청평면 청평리 438-23번지,12453,37.7358500189,127.4159359201,,204580.9228,488837.1106,동물병원,,
가평군,가평축산농협 동물병원,2011-04-18,,4,말소,,582-4111,0,,경기도 가평군 가평읍 가화로 55-12,경기도 가평군 가평읍 대곡리 166-1번지,12420,37.8249298209,127.5150104334,,245252.4166,480343.9257,동물병원,,
가평군,청평동물병원,2012-03-29,,0000,정상,,585-7573,59.82,12452,경기도 가평군 청평면 청평중앙로 55-1,경기도 가평군 청평면 청평리 465-25 ,12452,37.7384399692,127.4204501612,,236987.668990474    ,470746.353149921    ,동물병원,0,000
가평군,설악동물병원,2013-12-11,,0000,정상,,584-3063,66.12,12465,"경기도 가평군 설악면 신천중앙로 120, 1층",경기도 가평군 설악면 신천리 435-3 설악동물병원 ,12465,37.6782482628,127.4906214378,,243211.024767491    ,464093.169143607    ,동물병원,0,000
가평군,가평축산농협 동물병원,2011-04-21,,1,정상,,031-582-4111,24,,경기도 가평군 가평읍 가화로 55-17,경기도 가평군 가평읍 대곡리 166-2 가평축산농협,12420,37.8245422933,127.5147035580,,245272.3992,480386.6023,동물병원,,
가평군,현리동물병원,2002-08-29,,1,정상,,,0,,경기도 가평군 조종면 현창로 70,경기도 가평군 조종면 현리 303-6번지,12437,37.8205225330,127.3465531247,,230438.34,479828.0629,동물병원,,
가평군,경기동물병원,1990-03-03,,1,정상,,,0,,경기도 가평군 청평면 청평중앙로 8,경기도 가평군 청평면 청평리 438-23번지 경기동물병원,12453,37.7358500189,127.4159359201,,236594.5239,470455.6771,동물병원,,
가평군,가평축산농협 동물병원,2011-04-21,,0000,정상,,031-582-4111,24,12420,"경기도 가평군 가평읍 가화로 55-17, 가평축산농협",경기도 가평군 가평읍 대곡리 166-2 가평축산농협 ,12420,37.8245422933,127.5147035580,,245252.416638152    ,480343.925718312    ,동물병원,0,L00
가평군,가평동물병원,2023-11-22,,0000,정상,,,48.72,12413,"경기도 가평군 가평읍 보납로 11, 센트럴더스카이 근린생활시동 105호",경기도 가평군 가평읍 읍내리 457-5 ,12413,37.8312573862,127.5122048372,,245013.115244781    ,481096.792130088    ,동물병원,0,000
가평군,청평동물병원,2012-03-29,,1,정상,,585-7573,59.82,,경기도 가평군 청평면 청평중앙로 55-1,경기도 가평군 청평면 청평리 465-25,12452,37.7384399692,127.4204501612,,236987.669,470746.3531,동물병원,,
가평군,사랑나무동물병원,2025-01-21,,0000,정상,,,73.2,12413,경기도 가평군 가평읍 가화로 155,경기도 가평군 가평읍 읍내리 624-3 ,12413,37.8331231829,127.5114778380,,244957.088397569    ,481295.90855951     ,동물병원,0,000
가평군,경기동물병원,1990-03-03,,0000,정상,,,0,12453,"경기도 가평군 청평면 청평중앙로 8, 경기동물병원",경기도 가평군 청평면 청평리 438-23 경기동물병원 ,12453,37.7358500189,127.4159359201,,236594.523885646    ,470455.677127581    ,동물병원,0,000
가평군,설악동물병원,2013-12-11,,1,정상,,584-3063,34.02,,경기도 가평군 설악면 신천중앙로 117,경기도 가평군 설악면 신천리 454-3번지,12467,37.6779598351,127.4906328145,,243195.7912,464052.735,동물병원,,
가평군,우랑동물병원(산업동물출장진료전문병원),2017-12-28,,1,정상,,,18,,경기도 가평군 가평읍 중촌로 11,경기도 가평군 가평읍 읍내리 602,12414,37.8331234043,127.5089209010,,244728.6756,481292.9715,동물병원,,
가평군,현대가축병원,1979-08-10,,1,정상,,,0,,경기도 가평군 가평읍 연인2길 19,경기도 가평군 가평읍 읍내리 489-14번지 현대동물병원,12418,37.8296621497,127.5112727565,,199432.2233,485476.8324,동물병원,,
가평군,가평가축병원,1975-04-16,,1,정상,,582-2412,0,,,경기도 가평군 가평읍 대곡리 230-3번지,12420,37.8250380885,127.5141241472,,245202.8971,480399.4387,동물병원,,
가평군,가평가축병원,1975-04-16,,0002,폐업,2024-04-29,582-2412,0,12420,경기도 가평군 가평읍 오리나무길 27 (조은장여관),경기도 가평군 가평읍 대곡리 230-3 ,12420,37.8250380885,127.5141241472,,245202.897129881    ,480399.438730518    ,동물병원,0,000
가평군,가평유기동물병원,2005-07-26,,3,폐업,2014-02-04,585-0341,91.02,,경기도 가평군 조종면 대보간선로335번길 81,경기도 가평군 조종면 대보리 223번지,12439,37.8028678042,127.3708422306,,,,동물병원,,
가평군,푸른가축병원(산업동물출장진료전문병원),2009-02-23,,3,폐업,2017-12-26,031-582-8012,47.25,,,경기도 가평군 가평읍 읍내리 457번지,12413,,,,,,동물병원,,
가평군,청평애견동물병원,2004-09-20,,3,폐업,2005-08-02,,0,,경기도 가평군 청평면 청평중앙로 21,경기도 가평군 청평면 청평리 453-1번지,12452,37.7366531895,127.4173309881,,210250.6814,467253.3095,동물병원,,
가평군,대한동물병원,1999-10-16,,3,폐업,2003-12-26,581-7582,0,,경기도 가평군 가평읍 가화로 48,경기도 가평군 가평읍 대곡리 189-1 번지,12419,37.8242537276,127.5158170556,,206054.5888,502434.7066,동물병원,,
가평군,선진가축병원(산업동물출장진료전문병원),2011-08-04,,3,폐업,2023-05-09,070-8739-6388,30,,경기도 가평군 가평읍 향교로 3,경기도 가평군 가평읍 읍내리 535-2,12417,37.8294368981,127.5104318158,,244864.1401,480885.6069,동물병원,,
고양시,스마트동물병원,2013-07-04,,1,정상,,031-913-8820,171.34,,경기도 고양시 일산동구 호수로 678,경기도 고양시 일산동구 장항동 750번지,10364,37.6618424343,126.7648036830,,179178.9797,462185.7801,동물병원,,
고양시,수 동물병원,2010-10-08,,1,정상,,031-900-8875,0,,,경기도 고양시 일산동구 장항동 751번지 삼성라끄빌,10401,37.6607585379,126.7658801073,,182325.2368,406130.4319,동물병원,,
